"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
54,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_62.png",1699,0.000582271,244.7612753,0.932491767,280.6902029,74.32549196,0.035294116,1.541743498,0.208955352,0.71392867,0.06666667,0,0,0,0.027181229,0.009290258,0.005977617
55,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_66.png",869,0.00019381,93.55055147,0.966629588,169.6274557,42.44705979,0.043137252,0.656955613,1.094280319,3.756727545,0.156862751,0,0,0,0.055629147,0.049294415,0.046838659
56,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_69.png",1153,0.000447752,73.50142056,0.949752883,283.3882427,53.86274617,0.047058836,1.833806282,0.215855823,4.45601826,0.074509807,0,0,0,0.070478304,0.1277302,0.069667502
57,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_7.png",1112,0.000158407,105.579317,0.974583699,166.0823571,42.09019693,0.043137252,1.16283765,0.268768236,0.355401173,0.06666667,0,0,0,0,0,0.0269233
58,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_71.png",799,4.29e-07,61.85162617,0.970838396,189.7647125,41.39215756,0.041176476,0.315514469,0.035418087,0.683865161,0.078431375,0,0,0,0.028174712,0.01971816,0.016910713
59,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_75.png",1317,6.12e-05,128.1518499,0.973392461,156.478436,50.03529511,0.031372547,0.246025951,0.155916134,0.674367134,0.086274512,0,0,0,0,0,0.02495651
60,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_76.png",511,0.000505409,88.50251799,0.955140187,79.10196306,14.8313729,0.101960793,0.957691911,0.704083663,0.509578074,0.05882353,0,0,0,0,0,0.01660622
61,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_77.png",677,0.000430485,67.76330103,0.956214689,105.5058852,33.52549084,0.019607842,0.118024216,1.037543591,0.873578663,0.215686277,0,0,0,0.063474954,0.02751954,0.01510834
62,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_79.png",1110,1.02e-05,132.6498174,0.961038961,277.4392248,52.89019705,0.039215684,0.74415682,0.238899969,0.937082035,0.070588239,0,0,0,0.053657055,0.017543354,0.009884028
63,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_94.png",920,2.6e-05,114.5641009,0.975609756,150.6627484,50.60392263,0.027450979,0.347211792,0.219176105,0.720571011,0.078431375,0,0,0,0.031571332,0.021166992,0.021415167
64,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_96.png",1303,0.000247972,83.89015372,0.968773234,221.5333388,71.83921713,0.035294116,0.992275739,0.268694083,1.887352485,0.082352944,0,0,0,0.028957542,0.023722551,0.030338934
65,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2157.png",924,3.55e-06,70.42118776,0.970588235,252.0274561,61.32549189,0.086274505,0.518677368,0.270190424,0.465128575,0.149019614,0,0,0,0,0,0.072468972
